date,rank,name,price,today_purchased,value,now_viewing_customers_count,link
2019/9/10,10,TP-LINK Deco E4(2-pack),1999,0,17,69,https://www.alza.cz/EN/tp-link-deco-e42-pack-d5586324.htm
2019/9/11,1,TP-Link Archer C6,999,34,243,356,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/11,2,TP-LINK TL-WR841N,499,22,156,273,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/11,3,ASUS RT-AC57U,1199,11,77,136,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/11,4,TP-LINK Archer C50 AC1200 Dual Band,799,0,69,137,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/11,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,36,121,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/11,6,TP-LINK TL-WR940N,599,0,51,81,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/11,7,TP-LINK Deco M5 3ks,6490,0,16,44,https://www.alza.cz/EN/tp-link-deco-m5-d5072789.htm
2019/9/11,8,TP-LINK M7200,1499,0,21,71,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/11,9,ASUS RT-AC66U B1,2399,0,15,49,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/9/11,10,NETIS WF2780,989,0,18,50,https://www.alza.cz/EN/netis-wf2780-d4473618.htm
2019/9/12,1,TP-Link Archer C6,999,32,227,317,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/12,2,TP-LINK TL-WR841N,499,22,157,225,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/12,3,ASUS RT-AC57U,1199,11,77,158,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
